Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2017,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,644.00","32,158","2,595"
2017,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,279.90","52,746","4,464"
2017,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,235.3,"2,047",274
2017,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"38,308.70","344,508","31,309"
2017,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"16,341.00","109,301","8,603"
2017,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"42,976.00","260,879","34,138"
2017,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"22,670.80","275,115","36,228"
2017,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"2,953.20","35,374","3,203"
2017,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"12,805.00","87,563","7,136"
2017,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,"3,600.00","69,274","3,619"
2017,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,"3,659.00","25,660","2,041"
2017,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,722,"6,257",536
2017,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"10,250.00","82,639","4,382"
2017,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"81,884.00","582,815","44,525"
2017,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,519.1,"4,597",776
2017,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,302,495.00","17,218,624","1,268,271"
2017,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,"4,923.00","42,300","3,787"
2017,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,"22,851.00","126,480","30,811"
2017,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,"17,950.60","151,017","14,579"
2017,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"8,095.00","26,264","5,496"
2017,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"18,561.00","41,535","8,158"
2017,230,Albany Water Gas & Light Comm,A,Bundled,O,GA,Municipal,SOCO,"36,596.00","337,765","31,473"
2017,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"16,072.90","120,632","9,876"
2017,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,"22,346.00","171,386","11,679"
2017,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,"10,986.00","111,770","7,931"
2017,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,0,0,0
2017,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,"23,515.00","204,068","14,646"
2017,289,City of Alexander City,A,Bundled,O,AL,Municipal,SOCO,"5,397.00","50,590","5,083"
2017,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,"7,636.10","72,706","7,995"
2017,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,372,"3,789",227
2017,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,"4,624.00","47,574","2,737"
2017,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,"28,514.00","274,578","20,216"
2017,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,"9,842.00","47,807","9,439"
2017,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,"1,393.60","10,921","1,658"
2017,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,"8,459.90","59,403","5,930"
2017,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,SWPP,"4,045.00","28,107","3,035"
2017,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,"16,669.10","112,248","9,454"
2017,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,SWPP,"4,873.60","37,878","4,150"
2017,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,"11,842.00","85,293","13,708"
2017,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"31,461.40","228,658","18,537"
2017,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,SWPP,"12,512.10","86,753","7,571"
2017,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,889,"6,850",703
2017,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0
2017,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0
2017,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,"19,848.10","164,873","23,445"
2017,560,City of Amherst- (OH),A,Bundled,O,OH,Municipal,PJM,"6,069.00","55,291","5,443"
2017,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"68,442.40","588,113","43,564"
2017,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,"4,035.00","37,913","2,915"
2017,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,"38,559.00","360,955","25,382"
2017,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,"99,455.00","601,952","111,347"
2017,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,AMPL,"26,125.80","127,375","24,680"
2017,604,City of Andalusia,A,Bundled,O,AL,Municipal,AEC,"5,245.00","39,538","3,605"
2017,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,"34,765.80","291,037","31,302"
2017,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,"154,207.50","1,127,318","120,470"
2017,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,"3,815.00","42,315","3,372"
2017,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,"9,158.00","71,616","10,765"
