Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2020,61200,"Summer Energy Northeast, LLC",B,Energy,O,NH,Retail Power Marketer,ISNE,88,858,102
2020,61201,"Stream Energy Delaware, LLC",B,Energy,O,DE,Retail Power Marketer,PJM,561.4,6673,626
2020,61206,Total Gas & Power North America Inc,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0
2020,61264,Heritage Power LLC,D,Bundled,O,TX,Retail Power Marketer,ERCO,5729.8,72664,5072
2020,61265,Pogo Energy LLC,D,Bundled,O,TX,Retail Power Marketer,ERCO,11183.4,162757,13628
2020,61283,"Palmco Power DC, LLC",B,Energy,O,DC,Retail Power Marketer,PJM,1284,9506,1308
2020,61311,Conservice Energy,D,Bundled,O,TX,Retail Power Marketer,ERCO,41612.9,422299,35315
2020,61349,"Palmco Power DE, LLC",B,Energy,O,DE,Retail Power Marketer,PJM,536,4241,345
2020,61367,South Bay Energy Corp.,B,Energy,O,IL,Retail Power Marketer,PJM,181,1945,268
2020,61367,South Bay Energy Corp.,B,Energy,O,NJ,Retail Power Marketer,PJM,605,4403,515
2020,61367,South Bay Energy Corp.,B,Energy,O,NY,Retail Power Marketer,NYIS,2121,13945,2937
2020,61367,South Bay Energy Corp.,B,Energy,O,OH,Retail Power Marketer,PJM,211,3333,329
2020,61367,South Bay Energy Corp.,B,Energy,O,PA,Retail Power Marketer,PJM,1050,13249,1644
2020,61431,Pioneer Community Energy,B,Energy,O,CA,Community Choice Aggregator,CISO,51846,670599,80886
2020,61432,Central Coast Community Energy,B,Energy,O,CA,Community Choice Aggregator,CISO,90635,1204488,243731
2020,61433,San Jacinto Power,B,Energy,O,CA,Community Choice Aggregator,CISO,8389,112637,11527
2020,61439,Windrose Power & Gas LLC,D,Bundled,O,TX,Retail Power Marketer,ERCO,11687.3,226241,15351
2020,61460,Drift,B,Energy,O,NY,Retail Power Marketer,NYIS,0,0,0
2020,61462,Valley Clean Energy Alliance,B,Energy,O,CA,Community Choice Aggregator,CISO,22945.9,274504,49221
2020,61471,Rancho Mirage Energy Authority,B,Energy,O,CA,Community Choice Aggregator,CISO,11508,157722,12744
2020,61475,East Bay Community Energy,B,Energy,O,CA,Community Choice Aggregator,CISO,204871.5,2473446,503981
2020,61479,"Stream Ohio Gas & Electric, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,2270.5,40370,3627
2020,61503,City of Solana Beach,B,Energy,O,CA,Community Choice Aggregator,CISO,2042,30882,6255
2020,61522,"Mega Energy of Ohio, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,249,3506,188
2020,61526,Clean Power Alliance of Southern Califor,B,Energy,O,CA,Community Choice Aggregator,CISO,405415.6,5532622,690355
2020,61570,King City Community Power,B,Energy,O,CA,Community Choice Aggregator,CISO,942,11367,2728
2020,61769,GridPlus Texas Inc,D,Bundled,O,TX,Retail Power Marketer,ERCO,4169.7,44983,2697
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,AZ,Behind the Meter,AZPS,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,CA,Behind the Meter,CISO,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,CT,Behind the Meter,ISNE,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,MA,Behind the Meter,ISNE,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,MD,Behind the Meter,PJM,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,ME,Behind the Meter,ISNE,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,MI,Behind the Meter,MISO,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,NH,Behind the Meter,ISNE,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,NJ,Behind the Meter,PJM,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,NV,Behind the Meter,NEVP,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,NY,Behind the Meter,NYIS,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,PA,Behind the Meter,PJM,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,RI,Behind the Meter,ISNE,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,SC,Behind the Meter,SCEG,.,.,.
2020,61823,"Greenskies Renewable Energy, LLC",A,Bundled,O,WI,Behind the Meter,MISO,.,.,.
2020,61855,"Pulse Power, LLC",D,Bundled,O,TX,Retail Power Marketer,ERCO,123363,1170322,71593
2020,61858,San Jose Clean Energy,B,Energy,O,CA,Community Choice Aggregator,CISO,158804.9,1790192,316058
2020,61920,"All American Power and Gas, LLC",B,Energy,O,NJ,Retail Power Marketer,PJM,1878,9475,1091
2020,61920,"All American Power and Gas, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,718,4556,850
2020,61920,"All American Power and Gas, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,39,360,35
2020,61920,"All American Power and Gas, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,896.8,7980,1356
2020,61921,"Flanders Energy, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,2153,13644,3029
2020,61922,"Pure Energy USA, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,1165,10999,1460
2020,61922,"Pure Energy USA, LLC",B,Energy,O,NJ,Retail Power Marketer,PJM,2723,16700,1985
2020,61922,"Pure Energy USA, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,1960,14821,3346
2020,61922,"Pure Energy USA, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,133,1345,118
2020,61922,"Pure Energy USA, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,2310.1,21118,2893
2020,61972,"SunSea Energy, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,1970,12852,1872
2020,61972,"SunSea Energy, LLC",B,Energy,O,NJ,Retail Power Marketer,PJM,1716,8117,1251
2020,61972,"SunSea Energy, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,3575,29477,5296
2020,61972,"SunSea Energy, LLC",B,Energy,O,OH,Retail Power Marketer,PJM,50.3,483,70
2020,62094,"SFE Energy Illinois, Inc.",B,Energy,O,IL,Retail Power Marketer,MISO,631,7916,953
2020,62117,"SFE Energy Texas, Inc.",D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0
2020,62154,StateWise Energy Maryland LLC,B,Energy,O,MD,Retail Power Marketer,PJM,4485,32968,4135
2020,62156,"Power UP Energy, LLC",B,Energy,O,NJ,Retail Power Marketer,PJM,0,0,0
