City,Geographic Identifier,Area Name,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino,,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3620379,16000US3620379,Dering Harbor village,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620390,16000US3620390,DeRuyter village,471,467,471,,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3620500,16000US3620500,Dexter village,952,894,930,,12,0,0,0,0,24,22,14,0,0,0,0,0,8
3620687,16000US3620687,Dix Hills CDP,25925,18265,24342,,1215,0,4390,15,64,393,1583,1440,4,0,0,12,118,9
3620698,16000US3620698,Dobbs Ferry village,11070,7828,9833,,877,27,652,0,11,438,1237,802,0,0,6,0,363,66
3620731,16000US3620731,Dolgeville village,2648,2388,2493,,3,31,6,0,0,65,155,150,0,0,0,0,0,5
3620841,16000US3620841,Dover Plains CDP,1096,915,962,,6,0,41,0,0,0,134,95,0,0,0,0,39,0
3620852,16000US3620852,Downsville CDP,525,503,525,,0,0,0,0,0,22,0,0,0,0,0,0,0,0
3620896,16000US3620896,Dresden village,319,303,305,,0,0,2,0,0,0,14,14,0,0,0,0,0,0
3620951,16000US3620951,Dryden village,2144,1887,2069,,7,5,103,0,14,53,75,26,0,0,0,0,34,15
3620989,16000US3620989,Duane Lake CDP,233,233,233,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620995,16000US3620995,Duanesburg CDP,361,283,283,,0,0,0,0,0,0,78,0,0,0,0,0,31,47
3621050,16000US3621050,Dundee village,1653,1584,1637,,10,4,11,0,0,28,16,4,0,0,0,0,12,0
3621105,16000US3621105,Dunkirk city,11865,7300,8232,,508,94,56,0,0,274,3633,2891,100,0,0,0,546,96
3621226,16000US3621226,Durhamville CDP,876,876,876,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621523,16000US3621523,Earlville village,1092,1054,1078,,0,0,0,0,20,4,14,11,3,0,0,0,0,0
3621578,16000US3621578,East Atlantic Beach CDP,1889,1667,1694,,0,0,17,0,0,10,195,182,0,0,0,0,13,0
3621589,16000US3621589,East Aurora village,6184,5877,6108,,87,0,41,0,0,103,76,48,8,0,0,0,5,15
3621600,16000US3621600,East Avon CDP,636,636,636,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3621809,16000US3621809,Eastchester CDP,19990,16033,18796,,340,45,1889,0,92,397,1194,738,16,0,0,0,305,135
3621985,16000US3621985,East Farmingdale CDP,6168,3168,4794,,806,5,638,0,25,152,1374,876,27,8,0,0,441,22
3622084,16000US3622084,East Glenville CDP,6259,5789,6061,,4,3,205,0,0,60,198,153,0,0,0,0,9,36
3622106,16000US3622106,East Greenbush CDP,4663,4161,4538,,40,21,232,0,10,74,125,104,0,0,0,0,0,21
3622183,16000US3622183,East Hampton village,869,733,811,,21,0,12,0,6,39,58,44,0,0,14,0,0,0
3622200,16000US3622200,East Hampton North CDP,4535,2378,2756,,351,0,14,0,0,13,1779,1699,24,0,0,0,56,0
3622260,16000US3622260,East Hills village,7147,6016,6808,,55,0,635,0,0,102,339,308,0,13,0,0,18,0
3622315,16000US3622315,East Islip CDP,13222,11420,11907,,285,0,146,0,30,26,1315,740,100,16,0,0,459,0
3622326,16000US3622326,East Ithaca CDP,1886,1299,1704,,79,0,296,0,0,30,182,63,0,0,0,0,57,62
3622370,16000US3622370,East Kingston CDP,469,358,422,,27,0,0,0,0,37,47,18,29,0,0,0,0,0
3622447,16000US3622447,East Marion CDP,999,921,964,,16,0,0,0,0,27,35,35,0,0,0,0,0,0
3622480,16000US3622480,East Massapequa CDP,17622,13216,15870,,2066,0,388,16,47,137,1752,1289,25,4,0,0,281,153
3622502,16000US3622502,East Meadow CDP,38029,23554,31755,,2324,150,4892,0,211,624,6274,2390,104,0,98,0,3292,390
3622546,16000US3622546,East Moriches CDP,5445,4923,5269,,101,0,105,0,8,132,176,149,7,0,0,0,20,0
3622557,16000US3622557,East Nassau village,526,508,520,,0,0,2,0,0,10,6,0,0,0,0,0,6,0
3622612,16000US3622612,East Northport CDP,20190,18068,18898,,114,0,513,0,1,202,1292,1042,18,0,0,0,151,81
3622623,16000US3622623,East Norwich CDP,2959,2504,2731,,64,0,45,0,2,116,228,148,0,0,9,0,55,16
3622733,16000US3622733,East Patchogue CDP,22172,16429,17858,,898,0,412,0,0,119,4314,3318,414,0,23,0,344,215
3622810,16000US3622810,Eastport CDP,1917,1659,1668,,9,0,0,0,0,0,249,146,32,0,0,0,25,46
3622832,16000US3622832,East Quogue CDP,5343,4598,4758,,22,0,122,0,6,10,585,585,0,0,0,0,0,0
3622843,16000US3622843,East Randolph CDP,621,567,615,,11,0,4,0,3,30,6,3,0,0,0,0,0,3
3622865,16000US3622865,East Rochester village,6563,5619,6332,,306,103,39,12,0,253,231,123,68,0,0,0,40,0
3622876,16000US3622876,East Rockaway village,9816,7790,8755,,438,0,450,0,24,53,1061,694,0,0,0,0,209,158
3622980,16000US3622980,East Shoreham CDP,6801,5536,6162,,232,0,271,0,0,123,639,540,45,0,0,0,54,0
3623052,16000US3623052,East Syracuse village,2955,2796,2895,,51,0,9,0,0,39,60,49,11,0,0,0,0,0
3623217,16000US3623217,East Williston village,2572,2032,2385,,25,0,236,0,11,81,187,120,0,0,0,0,51,16
3623316,16000US3623316,Eatons Neck CDP,1455,1409,1409,,0,0,0,0,0,0,46,46,0,0,0,0,0,0
3623404,16000US3623404,Eden CDP,3311,3143,3202,,0,0,59,0,0,0,109,92,0,0,0,0,17,0
3623602,16000US3623602,Edmeston CDP,559,535,552,,1,0,12,0,4,0,7,0,3,0,0,0,0,4
3623635,16000US3623635,Edwards CDP,524,520,524,,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3623701,16000US3623701,Eggertsville CDP,15721,10383,14871,,2566,54,1276,24,95,473,850,590,137,0,0,0,64,59
3623745,16000US3623745,Elba village,649,568,609,,6,0,0,0,0,35,40,38,0,0,0,0,2,0
3623789,16000US3623789,Elbridge village,969,910,946,,0,6,22,0,0,8,23,17,0,0,0,0,6,0
3623822,16000US3623822,Elizabethtown CDP,631,550,585,,19,0,0,0,3,13,46,17,0,0,0,0,0,29
3623965,16000US3623965,Ellenville village,4032,1814,2597,,391,1,207,0,0,184,1435,548,0,0,0,0,407,480
3624020,16000US3624020,Ellicottville village,279,260,279,,0,0,0,0,0,19,0,0,0,0,0,0,0,0
3624075,16000US3624075,Ellisburg village,223,197,216,,3,0,7,0,0,9,7,7,0,0,0,0,0,0
3624141,16000US3624141,Elma Center CDP,3301,3262,3282,,1,0,19,0,0,0,19,0,0,0,0,0,0,19
3624229,16000US3624229,Elmira city,27402,20007,25923,,3911,201,147,7,71,1579,1479,745,275,12,0,0,348,99
3624251,16000US3624251,Elmira Heights village,4199,3735,4074,,89,0,49,0,0,201,125,88,12,0,0,0,24,1
3624273,16000US3624273,Elmont CDP,35824,5133,28110,,16874,35,4474,13,547,1034,7714,2345,1040,22,26,0,3488,793
3624295,16000US3624295,Elmsford village,5085,1116,2926,,1208,24,453,0,7,118,2159,903,87,0,12,0,1109,48
3624405,16000US3624405,Elwood CDP,11498,8523,10736,,1029,0,875,0,38,271,762,507,0,0,5,0,238,12
3624515,16000US3624515,Endicott village,12771,10399,12199,,1185,19,259,0,0,337,572,203,38,5,0,0,200,126
3624526,16000US3624526,Endwell CDP,11677,10553,11160,,187,31,340,0,7,42,517,403,76,0,0,0,0,38
3624625,16000US3624625,Erin CDP,395,374,395,,9,0,8,0,0,4,0,0,0,0,0,0,0,0
3624713,16000US3624713,Esperance village,376,351,365,,4,0,6,0,0,4,11,3,8,0,0,0,0,0
3624823,16000US3624823,Evans Mills village,556,502,530,,10,1,6,0,0,11,26,23,3,0,0,0,0,0
3624867,16000US3624867,Fabius village,325,317,325,,0,8,0,0,0,0,0,0,0,0,0,0,0,0
3624988,16000US3624988,Fair Haven village,806,785,806,,10,3,0,0,0,8,0,0,0,0,0,0,0,0
3625043,16000US3625043,Fairmount CDP,10092,9101,9634,,133,21,217,0,34,128,458,381,0,0,0,0,26,51
3625076,16000US3625076,Fairport village,5349,4931,5064,,5,38,26,0,0,64,285,285,0,0,0,0,0,0
3625109,16000US3625109,Fairview CDP (Dutchess County),5486,3484,4855,,992,23,186,0,37,133,631,223,94,0,5,0,196,113
3625120,16000US3625120,Fairview CDP (Westchester County),3535,197,2477,,2234,0,25,0,21,0,1058,487,92,0,0,0,459,20
3625164,16000US3625164,Falconer village,2399,2327,2370,,13,0,0,12,0,18,29,29,0,0,0,0,0,0
3625384,16000US3625384,Farmingdale village,8902,6716,8034,,338,7,778,0,0,195,868,575,19,0,0,0,264,10
3625417,16000US3625417,Farmingville CDP,15714,11633,13472,,548,0,684,0,293,314,2242,1713,0,9,0,0,292,228
3625428,16000US3625428,Farnham village,459,421,450,,0,11,1,0,0,17,9,4,0,5,0,0,0,0
3625527,16000US3625527,Fayetteville village,4095,3756,4024,,43,0,56,0,0,169,71,54,0,0,0,0,0,17
3625571,16000US3625571,Felts Mills CDP,333,301,301,,0,0,0,0,0,0,32,32,0,0,0,0,0,0
3625747,16000US3625747,Fillmore CDP,518,503,507,,0,0,0,0,0,4,11,0,0,0,0,0,11,0
3625839,16000US3625839,Fire Island CDP,293,198,203,,0,1,4,0,0,0,90,66,0,0,0,0,24,0
3625857,16000US3625857,Firthcliffe CDP,4912,4083,4379,,124,0,123,0,1,48,533,296,23,0,0,0,121,93
3625923,16000US3625923,Fishers Island CDP,125,117,121,,0,0,0,0,0,4,4,0,0,0,0,0,4,0
3625934,16000US3625934,Fishers Landing CDP,48,48,48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3625967,16000US3625967,Fishkill village,2014,1515,1713,,118,0,62,0,0,18,301,220,5,0,0,12,64,0
3626121,16000US3626121,Flanders CDP,5750,1613,2320,,575,25,22,0,59,26,3430,2279,0,0,0,0,720,431
3626209,16000US3626209,Fleischmanns village,265,189,189,,0,0,0,0,0,0,76,44,0,0,0,0,31,1
3626264,16000US3626264,Floral Park village,16003,12418,14223,,135,14,1457,0,0,199,1780,993,33,0,0,0,706,48
3626319,16000US3626319,Florida village,2866,2000,2272,,53,80,37,0,23,79,594,280,64,13,0,6,171,60
3626352,16000US3626352,Flower Hill village,4832,3509,4576,,74,0,909,0,0,84,256,155,0,0,0,0,12,89
3626462,16000US3626462,Fonda village,995,823,834,,3,0,0,0,0,8,161,81,0,0,0,0,47,33
3626561,16000US3626561,Forest Home CDP,601,246,552,,18,5,224,0,0,59,49,44,0,5,0,0,0,0
3626649,16000US3626649,Forestville CDP,702,599,631,,9,2,0,0,0,21,71,68,3,0,0,0,0,0
3626704,16000US3626704,Fort Ann village,341,322,338,,8,0,0,7,0,1,3,3,0,0,0,0,0,0
3626752,16000US3626752,Fort Covington Hamlet CDP,1535,886,1497,,39,423,1,0,20,128,38,17,0,0,0,0,0,21
3626759,16000US3626759,Fort Drum CDP,13020,6589,9743,,1810,87,384,191,28,654,3277,2090,213,38,45,13,530,348
3626770,16000US3626770,Fort Edward village,3295,3229,3278,,0,7,0,0,0,42,17,0,0,0,0,0,17,0
3626880,16000US3626880,Fort Johnson village,729,667,680,,13,0,0,0,0,0,49,49,0,0,0,0,0,0
3626902,16000US3626902,Fort Montgomery CDP,1691,1106,1375,,15,0,199,0,0,55,316,97,0,0,0,0,192,27
3626924,16000US3626924,Fort Plain village,1765,1613,1695,,9,0,16,0,0,57,70,55,0,0,0,0,15,0
3626946,16000US3626946,Fort Salonga CDP,9775,8850,9062,,68,0,114,0,0,30,713,633,0,16,0,0,25,39
3627133,16000US3627133,Fowlerville CDP,139,139,139,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3627188,16000US3627188,Frankfort village,2435,2242,2358,,27,0,4,14,0,71,77,27,0,0,0,0,50,0
3627221,16000US3627221,Franklin village,394,388,394,,3,0,0,0,0,3,0,0,0,0,0,0,0,0
3627309,16000US3627309,Franklin Square CDP,32055,19724,25203,,834,157,3801,0,195,492,6852,2620,37,0,0,0,4008,187
3627331,16000US3627331,Franklinville village,1687,1573,1612,,6,0,0,0,0,33,75,54,0,5,0,0,4,12
3627419,16000US3627419,Fredonia village,10464,8643,9614,,409,82,143,6,0,331,850,308,86,0,0,13,399,44
3627452,16000US3627452,Freedom Plains CDP,303,258,277,,19,0,0,0,0,0,26,16,0,0,0,0,0,10
3627485,16000US3627485,Freeport village,43078,10603,24408,,11912,0,549,3,163,1178,18670,8051,948,72,0,0,5063,4536
3627529,16000US3627529,Freeville village,425,376,393,,0,7,4,0,0,6,32,32,0,0,0,0,0,0
3627672,16000US3627672,Frewsburg CDP,1713,1679,1713,,34,0,0,0,0,0,0,0,0,0,0,0,0,0
3627694,16000US3627694,Friendship CDP,1074,1044,1074,,30,0,0,0,0,0,0,0,0,0,0,0,0,0
3627815,16000US3627815,Fulton city,11300,10660,10883,,50,49,46,0,0,78,417,248,0,0,0,0,169,0
3627859,16000US3627859,Fultonville village,568,550,557,,0,0,0,0,0,7,11,11,0,0,0,0,0,0
3627969,16000US3627969,Gainesville village,245,232,245,,0,13,0,0,0,0,0,0,0,0,0,0,0,0
3628035,16000US3628035,Galeville CDP,4642,4162,4628,,227,0,0,0,0,239,14,0,0,0,0,0,0,14
3628101,16000US3628101,Galway village,254,242,244,,2,0,0,0,0,0,10,10,0,0,0,0,0,0
3628145,16000US3628145,Gang Mills CDP,4553,3435,4474,,186,0,758,0,0,95,79,79,0,0,0,0,0,0
3628178,16000US3628178,Garden City village,22499,19428,21261,,382,0,1108,0,39,304,1238,671,28,0,1,0,426,112
3628189,16000US3628189,Garden City Park CDP,8335,2936,6838,,347,0,3190,0,171,194,1497,625,0,43,30,0,791,8
3628200,16000US3628200,Garden City South CDP,4250,3609,3929,,0,0,296,0,0,24,321,156,0,0,0,0,165,0
3628244,16000US3628244,Gardiner CDP,643,581,643,,0,0,0,0,0,62,0,0,0,0,0,0,0,0
3628310,16000US3628310,Gardnertown CDP,4633,3061,3678,,461,0,42,0,9,105,955,539,100,0,0,0,316,0
3628431,16000US3628431,Gasport CDP,1393,1295,1390,,52,0,0,0,0,43,3,3,0,0,0,0,0,0
3628453,16000US3628453,Gates CDP,4872,4163,4718,,215,0,112,0,0,228,154,137,0,0,0,0,0,17
3628618,16000US3628618,Geneseo village,8095,7169,7667,,139,5,231,0,0,123,428,281,32,0,0,0,83,32
3628640,16000US3628640,Geneva city,12787,8917,10886,,1049,49,468,0,0,403,1901,750,271,60,0,0,647,173
3628761,16000US3628761,Germantown CDP,796,723,750,,0,0,7,0,0,20,46,38,0,0,0,0,2,6
3628860,16000US3628860,Ghent CDP,586,378,437,,59,0,0,0,0,0,149,4,0,0,0,0,145,0
3628959,16000US3628959,Gilbertsville village,393,358,392,,0,0,20,0,0,14,1,0,0,0,0,0,0,1
3628990,16000US3628990,Gilgo CDP,370,370,370,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3629014,16000US3629014,Glasco CDP,2391,2121,2191,,11,36,0,0,0,23,200,73,0,0,0,0,119,8
3629058,16000US3629058,Glen Aubrey CDP,319,307,319,,6,0,0,0,0,6,0,0,0,0,0,0,0,0
3629113,16000US3629113,Glen Cove city,27232,14906,20215,,2166,66,1430,0,1089,558,7017,3423,109,219,10,0,3073,183
3629245,16000US3629245,Glen Head CDP,5053,4080,4376,,123,0,108,0,32,33,677,399,0,0,0,0,278,0
3629322,16000US3629322,Glen Park village,560,520,546,,2,0,5,0,0,19,14,12,0,2,0,0,0,0
3629333,16000US3629333,Glens Falls city,14340,12829,13601,,192,8,202,36,0,334,739,423,59,0,0,0,76,181
3629338,16000US3629338,Glens Falls North CDP,8817,8188,8627,,43,19,259,0,18,100,190,180,0,0,0,0,10,0
3629421,16000US3629421,Glenwood Landing CDP,3843,3209,3617,,114,0,211,0,34,49,226,134,0,0,0,0,92,0
3629443,16000US3629443,Gloversville city,14878,13426,14183,,242,139,171,7,0,198,695,295,56,56,0,0,206,82
3629476,16000US3629476,Golden's Bridge CDP,1792,1629,1717,,37,0,51,0,0,0,75,6,0,0,0,0,69,0
3629509,16000US3629509,Gordon Heights CDP,3596,805,2698,,1782,0,24,0,0,87,898,681,44,0,0,37,118,18
3629520,16000US3629520,Gorham CDP,776,776,776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3629542,16000US3629542,Goshen village,5344,3542,3874,,142,0,147,0,0,43,1470,547,29,0,0,72,693,129
3629597,16000US3629597,Gouverneur village,3720,3487,3633,,73,37,0,0,0,36,87,6,9,0,0,0,23,49
3629630,16000US3629630,Gowanda village,2898,2475,2717,,17,118,0,2,0,105,181,137,23,0,2,0,14,5
3629872,16000US3629872,Grand View-on-Hudson village,290,235,249,,0,0,12,0,0,2,41,41,0,0,0,0,0,0
3629894,16000US3629894,Grandyle Village CDP,4723,4275,4460,,82,0,59,0,0,44,263,33,0,0,0,0,230,0
3630026,16000US3630026,Granville village,2347,2254,2329,,0,0,64,0,0,11,18,10,2,0,0,0,0,6
3630136,16000US3630136,Great Bend CDP,1139,1044,1113,,8,0,26,0,0,35,26,0,0,0,0,14,12,0
3630169,16000US3630169,Great Neck village,10205,7882,9178,,104,0,1107,0,0,85,1027,659,47,0,0,0,320,1
3630191,16000US3630191,Great Neck Estates village,2852,2230,2771,,0,98,422,0,0,21,81,48,0,0,0,0,0,33
3630202,16000US3630202,Great Neck Gardens CDP,1150,759,1131,,0,0,348,0,0,24,19,19,0,0,0,0,0,0
3630213,16000US3630213,Great Neck Plaza village,6957,4709,6523,,226,47,1275,0,65,201,434,185,16,0,12,0,221,0
3630235,16000US3630235,Great River CDP,1405,1291,1294,,0,0,0,0,0,3,111,111,0,0,0,0,0,0
3630279,16000US3630279,Greece CDP,14798,11607,13545,,785,0,526,0,14,613,1253,604,145,0,0,0,291,213
3630411,16000US3630411,Greene village,1566,1440,1506,,12,0,15,0,0,39,60,60,0,0,0,0,0,0
3630521,16000US3630521,Green Island village,2592,2185,2434,,134,0,40,0,0,75,158,158,0,0,0,0,0,0
3630543,16000US3630543,Greenlawn CDP,14392,9862,12576,,1407,22,578,0,164,543,1816,991,72,0,0,0,695,58
3630576,16000US3630576,Greenport village,2082,1288,1646,,326,0,13,0,0,19,436,389,0,0,0,0,47,0
3630581,16000US3630581,Greenport West CDP,2283,1759,1888,,55,0,13,0,13,48,395,302,0,0,0,0,93,0
3630598,16000US3630598,Greenvale CDP,1718,964,1621,,0,0,657,0,0,0,97,0,0,0,0,0,97,0
3630609,16000US3630609,Greenville CDP (Greene County),846,778,846,,2,0,10,0,56,0,0,0,0,0,0,0,0,0
3630642,16000US3630642,Greenville CDP (Westchester County),7814,5131,7440,,85,6,2016,0,0,202,374,187,9,0,7,0,93,78
3630675,16000US3630675,Greenwich village,2149,1989,2078,,16,0,10,0,0,63,71,67,0,0,0,0,0,4
3630752,16000US3630752,Greenwood Lake village,3091,2559,2766,,72,98,0,0,0,37,325,325,0,0,0,0,0,0
3630807,16000US3630807,Greigsville CDP,342,342,342,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3630961,16000US3630961,Groton village,2209,1998,2179,,75,0,14,0,0,92,30,30,0,0,0,0,0,0
3631022,16000US3631022,Groveland Station CDP,265,265,265,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631137,16000US3631137,Guilford CDP,299,299,299,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3631258,16000US3631258,Hadley CDP,844,823,834,,0,0,0,0,0,11,10,10,0,0,0,0,0,0
3631291,16000US3631291,Hagaman village,1455,1353,1356,,0,0,0,0,0,3,99,78,0,0,0,0,21,0
3631346,16000US3631346,Hailesboro CDP,847,760,784,,8,0,0,0,0,16,63,0,0,0,0,0,1,62
3631445,16000US3631445,Halesite CDP,2710,2533,2600,,57,0,10,0,0,0,110,110,0,0,0,0,0,0
3631533,16000US3631533,Hall CDP,150,142,150,,0,8,0,0,0,0,0,0,0,0,0,0,0,0
3631643,16000US3631643,Hamburg village,9636,9263,9589,,55,0,135,0,0,136,47,44,0,0,0,0,3,0
3631709,16000US3631709,Hamilton village,3814,2866,3549,,191,0,353,0,0,139,265,159,7,0,0,0,63,36
3631786,16000US3631786,Hamlin CDP,5344,5032,5238,,124,0,7,0,0,75,106,92,0,0,0,0,6,8
3631830,16000US3631830,Hammond village,201,188,200,,5,0,0,0,0,7,1,0,0,0,0,0,0,1
3631852,16000US3631852,Hammondsport village,495,449,472,,0,0,0,0,0,23,23,18,0,0,0,0,2,3
3631896,16000US3631896,Hampton Bays CDP,14848,9444,9810,,170,0,20,7,0,169,5038,3570,0,48,8,0,1306,106
3631918,16000US3631918,Hampton Manor CDP,1911,1593,1911,,138,21,0,0,0,159,0,0,0,0,0,0,0,0
3631940,16000US3631940,Hancock village,1108,955,1038,,25,0,0,0,0,58,70,65,0,0,0,0,0,5
3632006,16000US3632006,Hannawa Falls CDP,764,698,742,,6,0,13,0,0,25,22,15,0,0,0,0,1,6
3632017,16000US3632017,Hannibal village,545,523,530,,0,0,0,0,0,7,15,10,0,0,0,2,3,0
3632094,16000US3632094,Harbor Hills CDP,400,400,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3632105,16000US3632105,Harbor Isle CDP,1214,975,986,,11,0,0,0,0,0,228,218,0,0,0,0,10,0
3632325,16000US3632325,Harriman village,3007,1229,2266,,842,0,150,0,24,21,741,263,9,0,0,0,367,102
3632391,16000US3632391,Harris Hill CDP,5847,5497,5718,,38,18,110,0,0,55,129,44,0,18,0,0,67,0
3632402,16000US3632402,Harrison village,28135,20380,24498,,1290,114,2231,10,42,431,3637,2008,171,50,8,0,1043,357
3632424,16000US3632424,Harrisville village,518,518,518,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3632523,16000US3632523,Hartsdale CDP,4550,2538,3939,,261,0,966,0,0,174,611,238,36,0,16,0,321,0
3632578,16000US3632578,Hartwick CDP,617,606,617,,0,0,0,0,0,11,0,0,0,0,0,0,0,0
3632710,16000US3632710,Hastings-on-Hudson village,7921,6474,7395,,224,0,412,0,108,177,526,404,7,0,1,0,92,22
3632732,16000US3632732,Hauppauge CDP,20005,15739,17994,,748,14,1317,0,43,133,2011,1638,30,0,11,0,254,78
3632754,16000US3632754,Haverstraw village,12065,2427,3775,,983,0,282,0,0,83,8290,2519,198,12,0,0,5140,421
3632776,16000US3632776,Haviland CDP,3300,2787,2980,,120,0,51,0,0,22,320,66,39,0,0,0,177,38
3632842,16000US3632842,Hawthorne CDP,4658,3834,4181,,41,0,297,0,0,9,477,193,0,0,0,0,247,37
3632963,16000US3632963,Head of the Harbor village,1378,1121,1267,,76,0,55,0,0,15,111,86,0,0,0,0,21,4
3633128,16000US3633128,Hemlock CDP,547,547,547,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3633139,16000US3633139,Hempstead village,55300,2969,29257,,24081,150,934,0,179,944,26043,5253,1050,123,0,0,17954,1663
3634044,16000US3634044,Henderson CDP,273,235,254,,5,0,0,0,0,14,19,0,0,0,0,0,8,11
3634118,16000US3634118,Heritage Hills CDP,4111,3896,3949,,19,0,34,0,0,0,162,124,38,0,0,0,0,0
3634121,16000US3634121,Herkimer village,6615,5965,6434,,144,31,91,0,0,203,181,88,38,0,0,12,34,9
3634165,16000US3634165,Hermon CDP,338,334,335,,0,0,0,0,1,0,3,3,0,0,0,0,0,0
3634198,16000US3634198,Herricks CDP,4122,1703,3986,,0,0,1824,52,190,217,136,136,0,0,0,0,0,0
3634220,16000US3634220,Herrings CDP,96,89,92,,0,0,2,0,0,1,4,0,0,0,0,0,4,0
3634264,16000US3634264,Heuvelton village,742,717,740,,6,7,0,0,0,10,2,1,0,0,0,0,0,1
3634286,16000US3634286,Hewlett CDP,6802,4690,5957,,517,0,724,0,0,26,845,441,0,0,0,0,404,0
3634297,16000US3634297,Hewlett Bay Park village,350,307,330,,16,0,6,0,1,0,20,20,0,0,0,0,0,0
3634308,16000US3634308,Hewlett Harbor village,999,868,985,,20,0,83,0,14,0,14,11,0,0,0,0,0,3
3634319,16000US3634319,Hewlett Neck village,496,422,480,,0,0,58,0,0,0,16,16,0,0,0,0,0,0
3634374,16000US3634374,Hicksville CDP,42709,22483,36823,,1457,14,11851,8,105,905,5886,3443,45,102,0,0,1525,771
3634451,16000US3634451,High Falls CDP,525,508,522,,2,0,7,0,0,5,3,1,1,0,0,0,1,0
3634484,16000US3634484,Highland CDP,5707,4466,5088,,416,0,73,0,12,121,619,378,24,0,0,0,209,8
3634495,16000US3634495,Highland Falls village,3841,2103,3409,,776,12,250,0,28,240,432,282,10,0,0,0,140,0
3634660,16000US3634660,Hillburn village,918,335,671,,147,20,87,0,0,82,247,35,0,0,0,0,203,9
3634693,16000US3634693,Hillcrest CDP,7441,871,5227,,3548,22,604,0,38,144,2214,842,22,0,11,0,1177,162
3634786,16000US3634786,Hillside CDP,856,803,818,,15,0,0,0,0,0,38,34,0,0,0,0,4,0
3634803,16000US3634803,Hillside Lake CDP,1200,1038,1053,,0,0,0,0,15,0,147,97,0,0,0,0,50,0
3634847,16000US3634847,Hilton village,5832,5131,5544,,357,0,0,0,0,56,288,181,80,0,0,0,27,0
3634979,16000US3634979,Hobart village,383,372,383,,4,0,5,0,0,2,0,0,0,0,0,0,0,0
3635056,16000US3635056,Holbrook CDP,25824,20550,22688,,756,157,832,35,42,316,3136,2842,81,48,0,0,38,127
3635111,16000US3635111,Holland CDP,1329,1303,1320,,0,0,0,0,0,17,9,9,0,0,0,0,0,0
3635144,16000US3635144,Holland Patent village,308,308,308,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3635155,16000US3635155,Holley village,1749,1457,1642,,104,5,17,0,0,59,107,96,7,0,0,0,0,4
3635254,16000US3635254,Holtsville CDP,19479,14768,16836,,840,0,935,0,10,283,2643,2234,25,0,0,0,312,72
3635276,16000US3635276,Homer village,3123,3015,3094,,3,0,76,0,0,0,29,29,0,0,0,0,0,0
3635353,16000US3635353,Honeoye CDP,568,362,398,,36,0,0,0,0,0,170,170,0,0,0,0,0,0
3635364,16000US3635364,Honeoye Falls village,2759,2624,2758,,15,0,18,0,0,101,1,0,1,0,0,0,0,0
3635474,16000US3635474,Hoosick Falls village,3388,3234,3273,,0,8,8,0,0,23,115,115,0,0,0,0,0,0
3635573,16000US3635573,Hopewell Junction CDP,510,294,294,,0,0,0,0,0,0,216,197,11,0,0,0,8,0
3635672,16000US3635672,Hornell city,8281,7537,8027,,93,16,159,0,22,200,254,171,38,0,0,0,31,14
3635694,16000US3635694,Horseheads village,6446,5641,6252,,129,0,178,0,0,304,194,149,8,0,0,0,15,22
3635710,16000US3635710,Horseheads North CDP,2613,2445,2548,,41,0,62,0,0,0,65,18,0,0,0,0,25,22
3635738,16000US3635738,Hortonville CDP,193,187,193,,0,0,0,0,0,6,0,0,0,0,0,0,0,0
3635771,16000US3635771,Houghton CDP,1639,1356,1562,,86,6,100,0,0,14,77,47,0,0,0,0,24,6
3635969,16000US3635969,Hudson city,6235,3514,5683,,1385,0,540,0,2,242,552,460,27,0,0,0,65,0
