City,Geographic Identifier,Area Name,Total Population,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino,,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: White Alone,Total Population: Hispanic or Latino: Black or African American Alone,Total Population: Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Hispanic or Latino: Asian Alone,Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Hispanic or Latino: Some Other Race Alone,Total Population: Hispanic or Latino: Two or More Races
3608257,16000US3608257,Brighton CDP,36272,27501,34433,,2152,170,3662,27,62,859,1839,1452,93,0,32,0,223,39
3608323,16000US3608323,Brightwaters village,3075,2694,2859,,57,0,9,0,59,40,216,208,0,0,0,0,8,0
3608334,16000US3608334,Brinckerhoff CDP,2267,1746,2075,,140,0,162,0,0,27,192,159,0,0,0,0,0,33
3608422,16000US3608422,Broadalbin village,1397,1346,1352,,6,0,0,0,0,0,45,11,0,0,0,0,0,34
3608466,16000US3608466,Brockport village,8292,6882,7799,,414,6,243,0,10,244,493,296,63,0,26,3,84,21
3608488,16000US3608488,Brocton village,1336,1240,1317,,12,48,10,0,0,7,19,19,0,0,0,0,0,0
3608532,16000US3608532,Bronxville village,6409,5282,5940,,70,0,457,0,19,112,469,329,3,4,0,0,115,18
3609000,16000US3609000,Brookhaven CDP,3455,2686,3036,,252,13,8,5,0,72,419,315,0,0,0,0,36,68
3610132,16000US3610132,Brookville village,3586,2433,3175,,183,0,464,0,0,95,411,242,22,0,0,0,143,4
3610231,16000US3610231,Brownville village,849,829,832,,3,0,0,0,0,0,17,17,0,0,0,0,0,0
3610286,16000US3610286,Brushton village,423,423,423,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3610341,16000US3610341,Buchanan village,2140,1613,1818,,144,5,8,0,13,35,322,54,40,0,0,0,228,0
3611000,16000US3611000,Buffalo city,256480,110416,224969,,91105,995,14955,109,262,7127,31511,10415,2580,230,62,7,14990,3227
3611132,16000US3611132,Burdett village,394,368,377,,0,0,9,0,0,0,17,17,0,0,0,0,0,0
3611154,16000US3611154,Burke village,262,205,220,,14,0,1,0,0,0,42,6,0,0,0,0,9,27
3611440,16000US3611440,Busti CDP,275,275,275,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3611550,16000US3611550,Byersville CDP,43,41,43,,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3611638,16000US3611638,Cairo CDP,955,826,883,,0,0,22,0,0,35,72,0,15,0,0,0,16,41
3611671,16000US3611671,Calcium CDP,3405,1387,2739,,735,9,462,0,0,146,666,337,51,0,0,0,97,181
3611704,16000US3611704,Caledonia village,2078,1948,2065,,53,0,21,0,13,30,13,13,0,0,0,0,0,0
3611748,16000US3611748,Callicoon CDP,273,182,265,,54,0,8,0,0,21,8,8,0,0,0,0,0,0
3611781,16000US3611781,Calverton CDP,6987,5293,6186,,526,0,184,0,0,183,801,683,0,0,0,0,0,118
3611825,16000US3611825,Cambridge village,1976,1864,1945,,0,13,42,0,0,26,31,18,0,0,0,0,13,0
3611847,16000US3611847,Camden village,2534,2438,2497,,3,10,0,0,0,46,37,28,9,0,0,0,0,0
