Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2018,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"4,185.00","37,455","2,566"
2018,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,572.60","56,479","4,655"
2018,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,279.9,"2,312",271
2018,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"45,278.00","386,800","31,382"
2018,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"17,507.00","119,449","8,664"
2018,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"44,822.00","279,803","34,207"
2018,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"23,474.90","261,491","32,338"
2018,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"3,494.50","34,126","3,093"
2018,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"13,463.00","96,940","7,091"
2018,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,"4,021.00","74,233","3,645"
2018,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,"3,925.00","27,921","2,074"
2018,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,773,"6,690",537
2018,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"10,307.00","87,804","4,381"
2018,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"87,922.00","631,260","45,005"
2018,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,516.6,"4,554",779
2018,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,385,939.00","18,626,138","1,273,526"
2018,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,"5,217.00","45,011","3,862"
2018,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,"24,016.80","124,492","31,136"
2018,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,"19,063.00","148,071","14,707"
