"","Utility","census_tracts","J40_DAC","Total_population","Total_BIPOC","BIPOC_p","Black_p","mean_median_household_income","mean.Median.Number.Of.Rooms","mean.Median.Home.Value","Housing_burdened","Occupied_housing_units","pop_18_64_poverty","pop_18_64","low_income","low_income_below_federal200","less_high_school","Metro","Urbal_rural_code","renters","ENERGYBRDN","PM25","Utility_Name"
"27","Roseville Electric",25,0,110072,32565,29.6,2.2,86701.8,5.708,431552,17163,41527,5366,66634,18535,20595,4492,25,1,15136,1.8,22.507336,"City of Roseville - (CA)"
"28","City of Shasta Lake",3,0,9210,1924,20.9,1.4,53236.3333333333,5.1,198133.333333333,1836,3453,1038,5354,2505,4160,776,3,1,1474,3.33333333333333,20.6993666666667,"City of Shasta Lake"
"29","City of Cerritos",11,0,50143,43115,86,8.6,104616.909090909,6.11818181818182,686272.727272727,6371,15378,1445,29074,7567,7389,2263,11,1,3196,1,29.1576727272727,"City of Cerritos"
"30","Glendale Water & Power",40,20,200232,76679,38.3,1.8,73121.3,4.6925,673495,42547,74698,14755,129387,71014,62069,23367,40,1,48691,1.5,37.5633625,"City of Glendale - (CA)"
"31","Eastside Power Authority",41,7,242114,160980,66.5,2.4,54632.8536585366,5.31951219512195,207514.634146341,32390,74577,24582,139744,70088,104174,52193,39,1.34390243902439,31510,3.26829268292683,51.3084048780488,"Eastside Power Authority"
"32","Merced Irrigation District",31,0,153944,111482,72.4,3.5,52354.6129032258,5.35483870967742,238606.451612903,19479,46275,17560,87363,50933,72176,43243,31,1.06451612903226,23510,2.87096774193548,35.2950225806452,"Merced Irrigation District"
"33","Colton Electric Utility Department",12,4,56431,47123,83.5,5.9,57245.0833333333,4.88333333333333,252766.666666667,8011,16703,4294,35124,16827,24068,13557,12,1,7338,2.58333333333333,30.7222916666667,"City of Colton - (CA)"
"34","Bear Valley Electric Service",7,0,14559,4892,33.6,0.8,51739.4285714286,4.57142857142857,338528.571428571,3299,6131,1367,8336,4607,6054,1524,0,4,2632,5,20.9065428571429,"Bear Valley Electric Service"
"35","Port of Oakland",2,1,4745,4601,97,34.5,109494.5,4.25,330600,755,1162,546,3012,2193,2096,1544,2,1,595,1.5,26.98395,"Port of Oakland"
"36","Alameda Power & Telecom",13,0,64573,37042,57.4,7.2,107697.076923077,4.77692307692308,880523.076923077,9819,24714,2485,40436,15004,10825,4573,13,1,12405,1,38.7394,"Alameda Municipal Power"
"37","City of Healdsburg Electric Department",2,0,8493,3198,37.7,0,91079.5,5.4,734800,1371,3235,278,5135,2515,1664,538,2,1,1623,2,32.63565,"City of Healdsburg Electric Department"
"38","Trinity Public Utilities District",5,0,12700,2273,17.9,1,38408.4,4.44,289000,2544,5939,1515,6951,3880,5118,867,0,10.06,1864,5,17.54062,"Trinity Public Utilities District"
"39","City of Needles",1,0,4011,1261,31.4,3.6,34841,5,91500,656,1578,473,2161,1765,2083,409,0,7.2,805,3,18.4477,"City of Needles"
"40","Truckee Donner Public Utilities District",4,0,16657,2972,17.8,0.6,106692,5.675,605275,2540,6126,1216,10417,2824,2888,948,0,4.25,2029,1.75,21.930075,"Truckee Donner Public Utilities District"
"41","City of Vernon Municipal Light Department",1,0,45,37,82.2,2.2,42188,4.6,NA,3,21,0,30,17,2,4,1,1,18,1,12.8396,"City of Vernon"
"42","City of Lompoc Electric Division",8,2,37744,26642,70.6,4.9,62547.5,4.55,304714.285714286,5261,11228,3077,20684,15767,16061,8502,8,1,6921,1.75,26.4327375,"City of Lompoc Electric Division"
"43","Port of Stockton",1,1,7624,7336,96.2,4.6,60160,5.3,195500,835,1769,661,4629,2389,3961,2819,1,1,867,3,36.421,"Port of Stockton"
"44","Western Area Power Administration",3031,348,15566635,9750871,62.6,6.6,81431.9092414707,5.34597815292949,487033.290053405,2273544,5076656,1175362,9434587,4227234,4803987,2147328,2786,1.51154734411085,2087147,2.44836687561861,29.8849452325965,"Western Area Power Administration"
"45","Sonoma Clean Power",120,4,586996,214117,36.5,1.5,78542.8487394958,5.13025210084034,585939.495798319,105154,223782,37314,351345,141752,151635,54600,88,3.21166666666667,91685,2.375,35.5531708333333,"Sonoma Clean Power"
"46","Anza Electric Cooperative, Inc.",2,0,9380,2785,29.7,1.1,48036,4.8,260450,1912,3394,1076,5340,2681,4243,1240,1,6.5,1014,6,26.18035,"Anza Electric Cooperative, Inc."
"47","Surprise Valley Electrification Corporation",3,0,6261,1120,17.9,2,39883,5.1,180033.333333333,1058,2658,650,3314,1815,2796,766,0,9.1,716,4.33333333333333,21.4834,"Surprise Valley Electrification"
"48","Plumas-Sierra Rural Electric Cooperative",6,0,25353,9263,36.5,9.3,59052.3333333333,5.25,233000,2376,7030,1163,8914,5248,7879,1581,2,6.5,1944,4.33333333333333,22.83585,"Plumas-Sierra Rural Electric Cooperative"
