Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2021,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,929.00","34,013","2,612"
2021,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,258,"2,115",269
2021,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"43,227.00","375,900","32,023"
2021,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"43,651.00","275,873","35,002"
2021,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,14.3,119,10
2021,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"14,143.80","149,041","19,010"
2021,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"1,817.60","15,804","1,600"
2021,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"9,933.00","79,442","4,418"
2021,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"83,700.70","613,632","47,152"
2021,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,514.3,"4,980",835
2021,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,451,698.00","17,466,982","1,301,017"
2021,207,Alameda Municipal Power,A,Bundled,O,CA,Municipal,CISO,"26,519.10","131,126","32,044"
2021,213,Alaska Electric Light & Power Co.,A,Bundled,O,AK,Investor Owned,NA,"19,052.10","160,027","15,017"
2021,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"8,742.00","26,792","5,576"
2021,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"21,051.90","44,527","7,872"
2021,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,"39,235.00","350,140","29,071"
2021,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"16,263.10","132,783","10,241"
2021,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,"25,166.00","183,878","12,254"
2021,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,"11,828.00","121,061","8,143"
2021,261,AGC Division of APGI Inc,A,Bundled,O,IN,Investor Owned,MISO,0,0,0
2021,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,"24,716.00","212,118","14,820"
2021,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,"8,432.60","80,757","8,435"
2021,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,398,"3,786",216
2021,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,"5,195.00","50,313","2,682"
2021,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,"28,187.00","290,637","20,081"
2021,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,"10,723.90","52,688","9,739"
2021,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,"1,445.70","11,214","1,669"
2021,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,"12,422.30","89,273","13,711"
2021,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"34,042.00","239,670","19,096"
2021,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,"1,021.40","7,255",709
2021,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0
2021,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0,0,0
2021,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,"20,866.80","180,734","24,900"
2021,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"76,406.10","681,433","46,675"
2021,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,"4,113.00","37,985","2,884"
2021,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,"44,096.00","401,347","26,581"
2021,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,"99,110.00","584,098","103,666"
2021,604,City of Andalusia,A,Bundled,O,AL,Municipal,SOCO,"5,690.70","41,279","3,654"
2021,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,"36,440.50","317,104","29,489"
2021,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,"178,345.50","1,280,095","127,501"
