Year,Utility_Number,Utility_Name,Part,Service_Type,Data_type,State,Ownership,BA_Code,Revenues_Thousand_Dollars,Sales_Megawatthours,Customers_Count
2019,34,City of Abbeville - (SC),A,Bundled,O,SC,Municipal,DUK,"4,563.00","33,000","3,384"
2019,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,930.00","34,781","2,566"
2019,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,907.50","59,232","4,580"
2019,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,273.5,"2,094",272
2019,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"44,102.00","357,988","31,427"
2019,87,City of Ada - (MN),A,Bundled,O,MN,Municipal,MISO,860,"9,873",872
2019,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"17,699.00","118,628","8,706"
2019,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"44,046.00","272,010","34,323"
2019,113,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,2.2,27,3
2019,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"16,245.20","202,991","26,419"
2019,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,"2,650.20","27,064","2,574"
2019,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"13,078.00","92,887","7,090"
2019,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,"4,001.00","76,442","3,663"
2019,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,"3,988.00","27,905","2,080"
2019,149,City of Afton- (IA),A,Bundled,O,IA,Municipal,MISO,532,"3,985",434
2019,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,767,"6,753",537
2019,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"10,671.00","87,612","4,383"
2019,157,Town of Advance - (IN),A,Bundled,O,IN,Municipal,MISO,455.5,"3,744",238
2019,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"87,168.90","623,544","45,490"
2019,174,Aitkin Public Utilities Comm,A,Bundled,O,MN,Municipal,MISO,"1,401.00","12,921","1,641"
2019,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,502.7,"4,717",799
2019,182,City of Akron - (IA),A,Bundled,O,IA,Municipal,MISO,803,"8,483",694
2019,183,Village of Akron - (NY),A,Bundled,O,NY,Municipal,NYIS,954,"18,267","1,442"
2019,191,Alamo Power District No 3,A,Bundled,O,NV,Political Subdivision,NEVP,997.5,"7,898",605
2019,192,Akiachak Native Community Electric,A,Bundled,O,AK,Cooperative,NA,305.1,654,183
2019,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,448,683.00","18,264,230","1,280,955"
2019,198,City of Alton,A,Bundled,O,IA,Municipal,MISO,533,"6,321",455
2019,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,"5,190.00","44,764","3,895"
2019,202,Town of Black Creek - (NC),A,Bundled,O,NC,Municipal,CPLE,"1,145.00","8,976",645
2019,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,"24,923.50","125,585","29,625"
2019,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,"20,309.50","143,208","14,793"
2019,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"7,720.00","25,514","5,631"
2019,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"21,366.40","41,117","8,065"
2019,228,City of Albany - (MO),A,Bundled,O,MO,Municipal,SWPP,"1,247.00","8,615",882
2019,229,City of Albany - (IL),A,Bundled,O,IL,Municipal,MISO,507,"3,791",437
2019,230,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,"38,596.00","358,604","31,473"
2019,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"16,750.90","131,544","9,859"
2019,240,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,"24,981.00","177,135","11,955"
2019,241,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,"11,979.00","121,847","8,065"
2019,244,City of Albion - (ID),A,Bundled,O,ID,Municipal,BPAT,197,"2,103",183
2019,261,AGC Division of APG Inc,A,Bundled,O,IN,Investor Owned,MISO,0,0,0
2019,266,City of Alpha - (MN),A,Bundled,O,MN,Municipal,MISO,70,659,70
2019,276,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,"25,239.00","220,176","14,811"
2019,282,Village of Arcadia - (OH),A,Bundled,O,OH,Municipal,PJM,371.1,"2,814",249
2019,289,City of Alexander City,A,Bundled,O,AL,Municipal,SOCO,"5,725.00","56,011","4,983"
2019,295,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,"8,055.40","77,784","8,244"
2019,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,395,"4,030",220
2019,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,"4,978.00","51,453","2,700"
2019,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,"29,195.00","291,666","20,034"
2019,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,"10,157.00","49,253","9,540"
2019,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,"1,385.00","11,220","1,663"
2019,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,"8,997.50","62,904","5,970"
2019,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,SWPP,"3,992.00","28,102","3,044"
2019,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,"17,353.10","118,721","9,462"
2019,366,City of Allendale- (IL),A,Bundled,O,IL,Municipal,MISO,272,"2,920",239
2019,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,SWPP,"5,079.70","39,157","4,208"
2019,385,City of Alma - (KS),A,Bundled,O,KS,Municipal,SWPP,459.7,"3,410",360
2019,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,"12,609.40","86,654","13,698"
2019,405,City of Alta - (IA),A,Bundled,O,IA,Municipal,MISO,"1,046.10","10,071",829
2019,406,City of Altamont - (IL),A,Bundled,O,IL,Municipal,MISO,"1,428.00","11,321","1,348"
2019,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"32,685.00","240,928","18,705"
2019,408,City of Altamont - (KS),A,Bundled,O,KS,Municipal,SWPP,571,"6,208",540
2019,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,SWPP,"13,097.00","89,333","7,584"
2019,432,City of Alta Vista- (IA),A,Bundled,O,IA,Municipal,MISO,133.1,"1,183",134
2019,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,961,"7,260",709
2019,482,City of Alvarado - (MN),A,Bundled,O,MN,Municipal,MISO,305,"2,739",164
2019,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0,0,0
